Scheme Name	Net Asset Value
ICICI Prudential Liquid Fund - Bonus	121.0704
ICICI Prudential Liquid Fund - Daily IDCW	100.1482
ICICI Prudential Liquid Fund - Direct Plan -  Annual IDCW	103.9850
ICICI Prudential Liquid Fund - Direct Plan -  Half Yearly IDCW	106.7325
ICICI Prudential Liquid Fund - Direct Plan -  IDCW Others	185.1583
ICICI Prudential Liquid Fund - Direct Plan - Daily IDCW	100.1082
ICICI Prudential Liquid Fund - Direct Plan - Growth	399.2215
ICICI Prudential Liquid Fund - Direct Plan - Monthly IDCW	100.4287
ICICI Prudential Liquid Fund - Direct Plan - Quarterly IDCW	102.2043
ICICI Prudential Liquid Fund - Direct Plan - Weekly IDCW	100.2473
ICICI Prudential Liquid Fund - Direct Plan Bonus	149.1904
ICICI Prudential Liquid Fund - Growth	395.2348
ICICI Prudential Liquid Fund - Half Yearly IDCW	105.6475
ICICI Prudential Liquid Fund - IDCW Others	183.6845
ICICI Prudential Liquid Fund - Institutional Option - I	275.6151
ICICI Prudential Liquid Fund - Unclaimed IDCW	137.2884
ICICI Prudential Liquid Fund - Unclaimed IDCW Investor Education	100.0000
ICICI Prudential Liquid Fund - Unclaimed Redemption	137.2884
ICICI Prudential Liquid Fund - Unclaimed Redemption Investor Education	100.0000
ICICI Prudential Liquid Fund - Weekly IDCW	100.2211
ICICI Prudential Liquid Fund -Monthly IDCW	100.3202
ICICI Prudential Liquid Fund-Annual IDCW	103.8506
ICICI Prudential Liquid Fund - Institutional - Daily - Div	118.5022
ICICI Prudential Liquid Fund - Institutional - Weekly - Div	118.6133
ICICI Prudential Liquid Fund Retail Daily Dividend	118.5142
ICICI Prudential Liquid Fund Retail Growth	450.7797
ICICI Prudential Liquid Fund Retail Monthly Dividend	100.5372
ICICI Prudential Liquid Fund Retail Weekly Dividend	118.9171
ICICI Prudential Liquid Institutional Fund - Growth	462.33
Invesco India Liquid Fund - Bonus Option	3678.2356
Invesco India Liquid Fund - Daily IDCW (Reinvestment)	1002.7594
Invesco India Liquid Fund - Direct Plan - Growth	3702.2843
Invesco India Liquid Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1085.9409
Invesco India Liquid Fund - Direct Plan - Weekly IDCW (Reinvestment)	1116.6558
Invesco India Liquid Fund - Direct Plan- Daily IDCW (Reinvestment)	1005.8604
Invesco India Liquid Fund - Growth	3670.0614
Invesco India Liquid Fund - Monthly IDCW (Payout / Reinvestment)	1006.457
Invesco India Liquid Fund - Regular - Growth	3243.1516
Invesco India Liquid Fund - Regular - Weekly IDCW (Reinvestment)	1004.1373
Invesco India Liquid Fund - Unclaimed Dividend Plan - Above 3 Years	1000
Invesco India Liquid Fund - Unclaimed Dividend Plan - Below 3 Years	1754.8059
Invesco India Liquid Fund - Unclaimed Redemption Plan - Above 3 Years	1000
Invesco India Liquid Fund - Unclaimed Redemption Plan - Below 3 years	1754.4207
Invesco India Liquid Fund - Weekly IDCW (Reinvestment)	1019.2268
ITI Liquid Fund - Direct Plan - Annually IDCW Option	1405.6827
ITI Liquid Fund - Direct Plan - Daily IDCW Option	1001.0285
ITI Liquid Fund - Direct Plan - Fortnightly IDCW Option	1001.1646
ITI Liquid Fund - Direct Plan - Growth Option	1403.9186
ITI Liquid Fund - Direct Plan - Monthly IDCW Option	1005.1069
ITI Liquid Fund - Direct Plan - Weekly IDCW Option	1001.7779
ITI Liquid Fund - Regular Plan - Annually IDCW Option	1398.4107
ITI Liquid Fund - Regular Plan - Daily IDCW Option	1001.0000
ITI Liquid Fund - Regular Plan - Fortnightly Income Distribution cum capital withdrawal option Option	1002.8490
ITI Liquid Fund - Regular Plan - Growth Option	1391.1710
ITI Liquid Fund - Regular Plan - Monthly IDCW Option	1001.1538
ITI Liquid Fund - Regular Plan - Weekly IDCW Option	1001.7527
JioBlackRock Liquid Fund - Direct Plan - Growth Option	1022.8437
JM Liquid Fund (Direct) - Bonus Option - Bonus Option - Principal units	22.4898
JM Liquid Fund (Direct) - Daily IDCW	10.4302
JM Liquid Fund (Direct) - Growth Option	73.6418
JM Liquid Fund (Direct) - Quarterly IDCW	41.8095
JM Liquid Fund (Direct) - Weekly IDCW	11.0112
JM Liquid Fund (Regular) - Quarterly IDCW	41.2245
JM Liquid Fund (Regular) - Super Institutional Plan - Growth Option	41.8734
JM Liquid Fund (Regular) - Weekly IDCW	11.0085
JM Liquid Fund - Growth Option	72.8335
JM Liquid Fund - Unclaimed Application Refund Amount I.E.F. (Direct) - Growth Plan	41.4437
JM Liquid Fund - Unclaimed Brokerage I.E.F. (Direct) - Growth Plan	41.4437
JM Liquid Fund - Withheld Brokerage I.E.F. (Direct) - Growth Plan	41.4437
JM Liquid Fund Unclaimed Dividend (Direct) Growth Plan	57.8229
JM Liquid Fund Unclaimed Dividend IEF (Direct) Growth Plan	41.4437
JM Liquid Fund Unclaimed Redemption (Direct) Growth Plan	57.8230
JM Liquid Fund Unclaimed Redemption IEF (Direct) Growth Plan	41.4437
JM Liquid Fund (Regular) - Bonus Option - Principal Units	23.3215
JM Liquid Fund (Regular) - Daily IDCW	10.4302
Kotak Liquid Fund - Direct Plan - Daily Reinvestment of Income Distribution cum capital withdrawal option	1222.81
Kotak Liquid Fund - Direct Plan - Growth	5450.251
Kotak Liquid Fund - Direct Plan - Weekly - Reinvestment & Payout of Income Distribution cum capital withdrawal option	1001.527
Kotak Liquid Fund - Regular  - Daily Reinvestment of Income Distribution cum capital withdrawal option	1222.81
Kotak Liquid Fund - Regular Plan - Growth	5396.7415
Kotak Liquid Fund - Regular Plan - Weekly - Reinvestment & Payout of Income Distribution cum capital withdrawal option	1002.54
LIC MF Liquid Fund-Direct Plan-Daily IDCW	1034.6038
LIC MF Liquid Fund-Direct Plan-Growth	4897.8048
LIC MF Liquid Fund-Direct Plan-Monthly IDCW	1188.9242
LIC MF Liquid Fund-Direct Plan-Weekly IDCW	1061.9696
LIC MF Liquid Fund-Regular Plan-Daily IDCW	1000.1751
LIC MF Liquid Fund-Regular Plan-Growth	4826.591
LIC MF Liquid Fund-Regular Plan-Monthly IDCW	1169.2962
LIC MF Liquid Fund-Regular Plan-Weekly IDCW	1002.0885
Mahindra Manulife Liquid Fund - Direct Plan - Daily IDCW	1233.8984
Mahindra Manulife Liquid Fund - Direct Plan - Weekly IDCW	1003.4780
Mahindra Manulife Liquid Fund - Direct Plan -Growth	1757.6205
Mahindra Manulife Liquid Fund - Regular Plan - Daily IDCW	1001.0440
Mahindra Manulife Liquid Fund - Regular Plan - Growth	1738.1918
Mahindra Manulife Liquid Fund - Regular Plan - Weekly IDCW	1009.8914
Mahindra Manulife Liquid Fund - Unclaimed Redemption / IDCW Beyond 3 years	1000.0000
Mahindra Manulife Liquid Fund - Unclaimed Redemption / IDCW Upto three years	1218.6343
Mirae Asset Liquid Fund - Direct Plan - Growth	2849.4314
Mirae Asset Liquid Fund - Direct Plan - Weekly IDCW	1216.5818
Mirae Asset Liquid Fund - Direct Plan -Daily IDCW	1075.8332
Mirae Asset Liquid Fund - Direct Plan -Monthly IDCW	1139.7293
Mirae Asset Liquid Fund - Regular - Daily IDCW	1066.4347
Mirae Asset Liquid Fund - Regular Plan - Growth	2799.8468
Mirae Asset Liquid Fund - Regular Plan - Monthly IDCW	1157.3770
Mirae Asset Liquid Fund - Regular Plan - Weekly IDCW	1152.8983
Motilal Oswal Liquid Fund - Direct Growth	14.2462
Motilal Oswal Liquid Fund - Regular Growth	14.0960
Motilal Oswal Liquid Fund - Unclaimed Dividend - Greater than 3 years	10.0000
Motilal Oswal Liquid Fund - Unclaimed Dividend- Upto 3 years	13.8739
Motilal Oswal Liquid Fund - Unclaimed Redemption - Greater than 3 years	10.0000
Motilal Oswal Liquid Fund - Unclaimed Redemption - Upto 3 years	13.5977
Motilal Oswal Liquid Fund Direct - IDCW  Quarterly Payout/Reinvestment	10.0938
Motilal Oswal Liquid Fund Direct - IDCW Fortnightly Reinvestment	10.0181
Motilal Oswal Liquid Fund Direct - IDCW Monthly Payout/Reinvestment	10.0660
Motilal Oswal Liquid Fund Direct - IDCW Reinvestment	10.0077
Motilal Oswal Liquid Fund Direct - IDCW Weekly Reinvestment	10.0089
Motilal Oswal Liquid Fund Regular - IDCW Daily Reinvestment	10.0055
Motilal Oswal Liquid Fund Regular - IDCW Fortnightly Reinvestment	10.0175
Motilal Oswal Liquid Fund Regular - IDCW Monthly Payout/Reinvestment	10.0649
Motilal Oswal Liquid Fund Regular - IDCW Quarterly Payout/Reinvestment	10.0911
Motilal Oswal Liquid Fund Regular - IDCW Weekly Reinvestment	10.0160
Navi Liquid Fund - Direct Plan Daily IDCW - ReInvestment	10.0129
Navi Liquid Fund - Direct Plan Monthly IDCW - Payout	10.0448
Navi Liquid Fund - Direct Plan Weekly IDCW - Payout	10.0104
Navi Liquid Fund - Regular Plan Daily IDCW	10.0129
Navi Liquid Fund - Regular Plan Monthly IDCW	10.0444
Navi Liquid Fund - Regular Plan Weekly IDCW	10.0107
Navi Liquid Fund-Direct Plan-Growth Option	29.2636
Navi Liquid Fund-Regular Plan-Growth Option	28.9997
Navi Liquid Fund-Unclaimed Redemption and Dividend Plan greater than 3 years	10
Navi Liquid Fund-Unclaimed Redemption and Dividend Plan less than 3 years	29.1578
NIPPON INDIA LIQUID FUND - DAILY IDCW OPTION	1528.7400
NIPPON INDIA LIQUID FUND - DIRECT Plan - DAILY IDCW OPTION	1528.7400
NIPPON INDIA LIQUID FUND - DIRECT Plan - MONTHLY IDCW OPTION	1594.0187
NIPPON INDIA LIQUID FUND - DIRECT Plan - QUARTERLY IDCW OPTION	1014.2834
NIPPON INDIA LIQUID FUND - DIRECT Plan - WEEKLY IDCW OPTION	1531.2659
Nippon India Liquid Fund - Direct Plan Growth Plan - Growth Option	6604.8507
NIPPON INDIA LIQUID FUND - MONTHLY IDCW OPTION	1590.5500
NIPPON INDIA LIQUID FUND - QUARTERLY IDCW OPTION	1013.9817
Nippon India Liquid Fund - Retail Option - Growth Plan	5757.6188
NIPPON INDIA LIQUID FUND - RETAIL Plan - DAILY IDCW OPTION	1524.2800
NIPPON INDIA LIQUID FUND - RETAIL plan - MONTHLY IDCW OPTION	1331.4867
NIPPON INDIA LIQUID FUND - RETAIL Plan - QUARTERLY IDCW OPTION	1224.5838
NIPPON INDIA LIQUID FUND - RETAIL Plan - WEEKLY IDCW OPTION	1034.7324
NIPPON INDIA LIQUID FUND - WEEKLY IDCW OPTION	1531.2448
Nippon India Liquid Fund -Growth Plan	6517.9994
Reliance Liquid Fund-Cash Plan-Daily Dividend Reinvestment Option	1114.1500
Reliance Liquid Fund-Cash Plan-Growth Plan	2714.7678
Reliance Liquid Fund-Cash Plan-Monthly Dividend Plan	1004.4865
Reliance Liquid Fund-Cash Plan-Quarterly Dividend Plan	1013.8310
Reliance Liquid Fund-Cash Plan-Weekly Dividend Reinvestment Option	1092.0644
PGIM India INSTA CASH FUND - Annual Bonus Option	144.9174
PGIM India Insta Cash Fund - Direct Plan -  Annual Bonus Option	148.9974
PGIM India Insta Cash Fund - Direct Plan -  Regular Bonus	138.2962
PGIM India Insta Cash Fund - Direct Plan - Annual Dividend	144.7765
PGIM India Insta Cash Fund - Direct Plan - Quarterly Dividend	145.6889
PGIM India Insta Cash Fund - Direct Plan -Monthly Bonus	132.9596
PGIM India Insta Cash Fund - Quarterly Dividend Option	143.9385
PGIM India INSTA CASH FUND - Regular Plan BONUS OPTION	13.7989
PGIM India Insta Cash Fund- Annual Dividend Option	144.7569
PGIM India Insta Cash Fund-DIVIDEND-WEEKLY DIVIDEND	10.3577
PGIM India Insta Cash Fund-Institutional Plan-Daily Dividend	10.0516
PGIM India Insta Cash Fund-Institutional Plan-Growth	26.2743
PGIM India INSTA CASH FUND-Monthly Bonus Option	140.0664
PGIM India Liquid Fund - Bonus Option	186.8975
PGIM India Liquid Fund - Daily Dividend	100.304
PGIM India Liquid Fund - Direct Plan - Daily Dividend	125.4267
PGIM India Liquid Fund - Direct Plan - Growth	351.9308
PGIM India Liquid Fund - Direct Plan - Monthly Dividend	116.9482
PGIM India Liquid Fund - Direct Plan - Weekly Dividend	100.6147
PGIM India Liquid Fund - Growth	347.6196
PGIM India Liquid Fund - Monthly Dividend	117.421
PGIM India Liquid Fund - Weekly Dividend	100.6128
PGIM India Liquid Fund-DIVIDEND-Daily Dividend	10.301
PGIM India Liquid Fund-DIVIDEND-MONTHLY DIVIDEND	10.0577
PGIM India Liquid Fund-Growth-GROWTH	27.706
Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW	1000.5405
Parag Parikh Liquid Fund- Direct Plan- Growth	1492.3847
Parag Parikh Liquid Fund- Direct Plan- Monthly IDCW	1007.2930
Parag Parikh Liquid Fund- Direct Plan- Weekly Reinvestment of IDCW	1001.9637
Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW	1000.5404
Parag Parikh Liquid Fund- Regular Plan- Growth	1481.0580
Parag Parikh Liquid Fund- Regular Plan- Monthly IDCW	1007.2187
Parag Parikh Liquid Fund- Regular Plan- Weekly Reinvestment of IDCW	1001.9476
quant Liquid Fund - Growth Option - Direct Plan	43.339
quant Liquid Fund - Growth Option - Regular Plan	42.1863
quant Liquid Fund - Monthly IDCW Option - Direct Plan	15.7603
quant Liquid Fund - Monthly IDCW Option - Regular Plan	15.2066
quant Liquid Fund - Weekly IDCW Option - Direct Plan	14.6392
quant Liquid Fund - Weekly IDCW Option - Regular Plan	14.4853
quant Liquid Fund-Daily IDCW Option - Direct Plan	13.241
quant Liquid Fund-Daily IDCW Option - Regular Plan	12.7477
quant Liquid Fund-Unclaimed Dividend Investor Education Plan-Growth Option	13.4749
quant Liquid Fund-Unclaimed Dividend-Growth Option	13.4736
quant Liquid Fund-Unclaimed Redemption Investor Education Plan-Growth Option	13.4749
quant Liquid Fund-Unclaimed Redemption Plan-Growth Option	13.2883
Quantum Liquid Fund - Direct Plan Daily IDCW	10.0095
Quantum Liquid Fund - Direct Plan Growth Option	36.0100
Quantum Liquid Fund - Direct Plan Monthly IDCW	10.0526
Quantum Liquid Fund - Regular Plan Daily IDCW	10.0002
Quantum Liquid Fund - Regular Plan Growth Option	35.7429
Quantum Liquid Fund - Regular Plan Monthly IDCW	10.0493
Quantum Liquid Fund - Unclaimed IDCW Plan Above 3 years	10.0000
Quantum Liquid Fund - Unclaimed IDCW Plan Below 3 years	11.3218
Quantum Liquid Fund - Unclaimed Redemption Plan Above 3 years	10.0000
Quantum Liquid Fund - Unclaimed Redemption Plan Below 3 years	10.8866
SBI Liquid Fund - Direct Paln - Fortnightly Income Distribution cum Capital Withdrawal Option (IDCW)	1377.0695
SBI Liquid Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1144.0484
SBI Liquid Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1385.4972
SBI Liquid Fund - DIRECT PLAN -Growth	4217.0223
SBI Liquid Fund - Institutional - Growth	4212.0065
SBI Liquid Fund - Institutional Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1353.1609
SBI Liquid Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1140.7391
SBI Liquid Fund - Regular Plan - Fortnightly Income Distribution cum Capital Withdrawal Option (IDCW)	1369.3493
SBI Liquid Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1378.6058
SBI Liquid Fund - REGULAR PLAN -Growth	4172.5434
Shriram Liquid Fund - Direct Plan Growth Option	1066.2597
Shriram Liquid Fund - Regular Plan Growth Option	1064.6742
Shriram Unclaimed IDCW Liquid Fund	1040.1772
Shriram Unclaimed IDCW Stable Scheme Liquid Fund	1000
Shriram Unclaimed Redemption Liquid Fund	1052.0657
Shriram Unclaimed Redemption Stable Scheme Liquid Fund	1000
Sundaram  Liquid Fund (Formerly Known as Principal Cash Management Fund) Direct IDCW	1152.6698
Sundaram Liquid Fund (Formerly Known as  Principal Cash Management Fund) Regular Plan Principal Units	1274.1205
Sundaram Liquid Fund (Formerly Known as Principal Cash Management Fund )- Direct Plan - Income Distribution CUM Capital Withdrawal Option - Daily	1000.6367
Sundaram Liquid Fund (Formerly Known as Principal Cash Management Fund) - Daily Income Distribution CUM Capital Withdrawal	1000.8893
Sundaram Liquid Fund (Formerly Known as Principal Cash Management Fund) - Direct Plan - Growth Option	2383.5728
Sundaram Liquid Fund (Formerly Known as Principal Cash Management Fund) - Regular Plan IDCW	1036.6767
Sundaram Liquid Fund (Formerly Known as Principal Cash Management Fund) -Direct Plan - IDCW	1038.2583
Sundaram Liquid Fund (Formerly Known as Principal Cash Management Fund) -Growth Option	2354.2693
Sundaram Liquid Fund (Formerly Known as Principal Cash Management Fund) Direct Fortnightly IDCW	1028.1920
Sundaram Liquid Fund (Formerly Known as Principal Cash Management Fund) Direct Principal Units	1280.5417
Sundaram Liquid Fund (Formerly Known as Principal Cash Management Fund) Regular Fortnightly IDCW	1028.0322
Sundaram Liquid Fund (Formerly Known as Principal Cash Management Fund) Regular IDCW	1147.0639
Sundaram Liquid Fund (Formerly Known as Principal Cash Management Fund) Unclaimed Redemption More 3 Years	1000.0000
Sundaram Liquid Fund (Formerly Principal Cash Management Fund) - Weekly Income Distribution CUM Capital Withdrawal Option	1007.8472
Sundaram Liquid Fund(Formerly Known as Principal Cash Management Fund)- Direct Plan - Income Distribution CUM Capital Withdrawal Option - Weekly	1008.3385
Tata Liquid Fund - Direct Plan - Weekly IDCW Reinvestment	1024.0768
Tata Liquid Fund - Regular Plan - Weekly IDCW Reinvestment	1019.9703
Tata Liquid Fund -Regular Plan - Growth Option	4206.8146
Tata Liquid Fund- Direct Plan - Daily Reinvestment of IDCW Option	1001.5187
Tata Liquid Fund- Direct Plan-Growth Option	4259.4458
Tata Liquid Fund- Regular Plan - Daily Reinvestment of IDCW Option	1001.5157
Taurus Liquid Fund-Dividend	1013.9743
Taurus Liquid Fund-Growth	2368.5909
THE WEALTH COMPANY LIQUID FUND DIRECT DAILY ICDW	1002
THE WEALTH COMPANY LIQUID FUND DIRECT GROWTH	1006.8103
THE WEALTH COMPANY LIQUID FUND DIRECT MONTHLY IDCW	1006.1234
THE WEALTH COMPANY LIQUID FUND DIRECT WEEKLY	1002.661
THE WEALTH COMPANY LIQUID FUND REGULAR DAILY IDCW	1002
THE WEALTH COMPANY LIQUID FUND REGULAR GROWTH	1006.6489
THE WEALTH COMPANY LIQUID FUND REGULAR MONTHLY IDCW	1005.9403
THE WEALTH COMPANY LIQUID FUND REGULAR WEEKLY IDCW	1002.6037
TRUSTMF Liquid Fund-Direct Plan-Daily Income Distribution cum Capital Withdrawal	1250.5247
TRUSTMF Liquid Fund-Direct Plan-Growth	1306.4075
TRUSTMF Liquid Fund-Direct Plan-Monthly Income Distribution cum Capital Withdrawal	1183.0451
TRUSTMF Liquid Fund-Direct Plan-Weekly Income Distribution cum Capital Withdrawal	1209.7313
TRUSTMF Liquid Fund-Regular Plan-Daily Income Distribution cum Capital Withdrawal	1184.6904
TRUSTMF Liquid Fund-Regular Plan-Growth	1297.3739
TRUSTMF Liquid Fund-Regular Plan-Monthly Income Distribution cum Capital Withdrawal	1175.0131
TRUSTMF Liquid Fund-Regular Plan-Weekly Income Distribution cum Capital Withdrawal	1160.3463
Unifi Liquid Fund- Direct Growth	1026.8365
Unifi Liquid Fund- Regular Growth	1026.5595
Union Liquid Fund - Daily IDCW Option	1001.1995
Union Liquid Fund - Direct Plan - Daily IDCW Option	1001.1995
Union Liquid Fund - Direct Plan - Fortnightly IDCW Option	1002.6995
Union Liquid Fund - Direct Plan - Growth Option	2601.9767
Union Liquid Fund - Direct Plan - Monthly IDCW Option	1005.0562
Union Liquid Fund - Direct Plan - Weekly IDCW Option	1001.6758
Union Liquid Fund - Fortnightly IDCW Option	1002.6754
Union Liquid Fund - Growth Option	2569.4426
Union Liquid Fund - Monthly IDCW Option	1004.5963
Union Liquid Fund - Unclaimed Amounts Plan - IDCW Beyond 3 years	1000.0000
Union Liquid Fund - Unclaimed Amounts Plan - IDCW Upto 3 years	1167.6169
Union Liquid Fund - Unclaimed Amounts Plan - Redemption Beyond 3 years	1000.0000
Union Liquid Fund - Unclaimed Amounts Plan - Redemption Upto 3 years	1167.3290
Union Liquid Fund - Weekly IDCW Option	1001.9000
UTI Liquid Fund - Direct Plan - Annual IDCW	1944.9599
UTI Liquid Fund - Direct Plan - Daily IDCW (Reinvestment)	1063.7164
UTI Liquid Fund - Direct Plan - Flexi IDCW	1601.9565
UTI Liquid Fund - Direct Plan - Fortnightly IDCW	1157.0675
UTI Liquid Fund - Direct Plan - Half-Yearly IDCW	1519.2675
UTI Liquid Fund - Direct Plan - Monthly IDCW	1045.9829
UTI Liquid Fund - Direct Plan - Quarterly IDCW	1836.8815
UTI Liquid Fund - Direct Plan - Weekly IDCW	1373.3277
UTI Liquid Fund - Regular Plan - Annual IDCW	1931.9135
UTI Liquid Fund - Regular Plan - Daily IDCW (Reinvestment)	1153.3169
UTI Liquid Fund - Regular Plan - Flexi IDCW	1592.2406
UTI Liquid Fund - Regular Plan - Fortnightly IDCW	1156.2152
UTI Liquid Fund - Regular Plan - Half-Yearly IDCW	1345.0754
UTI Liquid Fund - Regular Plan - Monthly IDCW	1098.9638
UTI Liquid Fund - Regular Plan - Quarterly IDCW	1824.1555
UTI Liquid Fund - Regular Plan - Weekly IDCW	1053.4016
UTI-  Liquid Cash Plan - Direct Plan - Growth Option	4422.5019
UTI-  Liquid Cash Plan - Regular Plan - Growth Option	4381.3448
UTI-  Liquid Cash Plan- Discontinued - Regular Plan - Monthly Dividend Option	1070.4589
UTI-  Liquid Cash Plan- Discontinued - Regular Plan -Growth	3975.8078
UTI-  Liquid Cash Plan- Discontinued -Regular Plan Periodic Dividend Option	1135.0223
WhiteOak Capital Liquid Fund- Direct plan-Daily Reinvestment of Income Distribution cum capital withdrawal option (IDCW)	1001.5964
WhiteOak Capital Liquid Fund- Direct plan-Fortnightly Payout/ Reinvestment of Income Distribution cum capital withdrawal option (IDCW)	1001.9739
WhiteOak Capital Liquid Fund- Direct plan-Growth Option	1444.6500
WhiteOak Capital Liquid Fund- Direct plan-Monthly  Payout/ Reinvestment of Income Distribution cum capital withdrawal option (IDCW)	1002.1374
WhiteOak Capital Liquid Fund- Direct plan-Weekly Payout/ Reinvestment of Income Distribution cum capital withdrawal option (IDCW)	1002.0790
WhiteOak Capital Liquid Fund- Regular plan-Daily Reinvestment of Income Distribution cum capital withdrawal option (IDCW)	1001.5950
WhiteOak Capital Liquid Fund- Regular plan-Fortnightly Payout/ Reinvestment of Income Distribution cum capital withdrawal option (IDCW)	1003.2250
WhiteOak Capital Liquid Fund- Regular plan-Growth Option	1435.5329
WhiteOak Capital Liquid Fund- Regular plan-Monthly Payout/ Reinvestment of Income Distribution cum capital withdrawal option (IDCW)	1001.8705
WhiteOak Capital Liquid Fund- Regular plan-Weekly Payout/ Reinvestment of Income Distribution cum capital withdrawal option (IDCW)	1002.0654
Aditya Birla Sun Life Long Duration Fund-Direct Growth	13.096
Aditya Birla Sun Life Long Duration Fund-Direct IDCW Payout	11.3826
Aditya Birla Sun Life Long Duration Fund-Regular Growth	12.8243
Aditya Birla Sun Life Long Duration Fund-Regular IDCW Payout	11.1414
Axis Long Duration Fund - Direct Plan - Annual IDCW	1223.3986
Axis Long Duration Fund - Direct Plan - Growth	1231.7429
Axis Long Duration Fund - Direct Plan - Monthly IDCW	1012.6191
Axis Long Duration Fund - Direct Plan - Quarterly IDCW	1202.0443
Axis Long Duration Fund - Direct Plan -Daily IDCW	991.1532
Axis Long Duration Fund - Regular Plan - Annual IDCW	1207.4449
Axis Long Duration Fund - Regular Plan - Daily IDCW	990.5616
Axis Long Duration Fund - Regular Plan - Growth	1215.6407
Axis Long Duration Fund - Regular Plan - Monthly IDCW	1013.4308
Axis Long Duration Fund - Regular Plan - Quarterly IDCW	1186.0977
Bandhan Long Duration Fund - Direct Plan - Growth	11.0321
Bandhan Long Duration Fund - Direct Plan - IDCW	11.0305
Bandhan Long Duration Fund - Regular Plan - Growth	10.9571
Bandhan Long Duration Fund - Regular Plan - IDCW	10.9572
Franklin India Long Duration Fund - Direct - Growth	10.5438
Franklin India Long Duration Fund - Direct - IDCW	10.4422
Franklin India Long Duration Fund - Growth	10.4923
Franklin India Long Duration Fund - IDCW	10.3911
HDFC Long Duration Debt Fund - Growth Option	12.1257
HDFC Long Duration Debt Fund - Growth Option - Direct Plan	12.2477
HDFC Long Duration Debt Fund - IDCW Option	10.5566
HDFC Long Duration Debt Fund - IDCW Option - Direct Plan	10.3127
ICICI Prudential Long Term Bond Fund - Annual IDCW	10.4720
ICICI Prudential Long Term Bond Fund - Bonus	68.2598
ICICI Prudential Long Term Bond Fund - Direct Plan - Growth	98.7910
ICICI Prudential Long Term Bond Fund - Direct Plan - Half Yearly IDCW	11.9879
ICICI Prudential Long Term Bond Fund - Direct Plan - Quarterly IDCW	12.7169
ICICI Prudential Long Term Bond Fund - Growth	90.0962
ICICI Prudential Long Term Bond Fund - Half Yearly IDCW	11.1771
ICICI Prudential Long Term Bond Fund - Quarterly IDCW	12.3429
ICICI Prudential Long Term Bond Fund Direct Plan - Annual IDCW	11.5873
ICICI Prudential Long Term Bond Fund-Institutional Quarterly Dividend	11.7562
ICICI Prudential Long Term Bond Fund - Institutional Dividend Halfyearly	10.8508
ICICI Prudential Long Term Bond Fund-Institutional Option-Growth	73.5439
Kotak Long Duration Fund - Direct Plan - Growth	10.9726
Kotak Long Duration Fund - Direct Plan - IDCW	10.9729
Kotak Long Duration Fund - Regular Plan - Growth	10.9193
Kotak Long Duration Fund - Regular Plan - IDCW	10.9195
Mirae Asset Long Duration Fund - Direct Plan - Growth	10.2880
Mirae Asset Long Duration Fund - Direct Plan - IDCW	10.2844
Mirae Asset Long Duration Fund - Regular Plan - Growth	10.2382
Mirae Asset Long Duration Fund - Regular Plan - IDCW	10.2381
NIPPON INDIA NIVESH LAKSHYA LONG DURATION  FUND - DIRECT Plan - QUARTERLY IDCW Option	11.6296
NIPPON INDIA NIVESH LAKSHYA LONG DURATION FUND - ANNUAL IDCW Option	12.0051
NIPPON INDIA NIVESH LAKSHYA LONG DURATION FUND - DIRECT Plan - ANNUAL IDCW Option	12.0381
NIPPON INDIA NIVESH LAKSHYA LONG DURATION FUND - DIRECT Plan - HALF YEARLY IDCW Option	12.3154
NIPPON INDIA NIVESH LAKSHYA LONG DURATION FUND - DIRECT Plan - IDCW Option	18.3272
NIPPON INDIA NIVESH LAKSHYA LONG DURATION FUND - DIRECT Plan - MONTHLY IDCW Option	11.6358
NIPPON INDIA NIVESH LAKSHYA LONG DURATION FUND - IDCW Option	17.9035
NIPPON INDIA NIVESH LAKSHYA LONG DURATION FUND - MONTHLY IDCW Option	11.6042
NIPPON INDIA NIVESH LAKSHYA LONG DURATION FUND - QUARTERLY IDCW Option	11.6061
NIPPON INDIA NIVESH LAKSHYA LONG DURATION FUND LONG DURATION - HALF YEARLY IDCW Option	12.2765
Nippon India Nivesh Lakshya Long Duration Fund- Direct Plan- Growth Option	18.3271
Nippon India Nivesh Lakshya Long Duration Fund- Growth Option	17.9046
SBI Long Duration Fund - Direct Plan - Growth	12.4676
SBI Long Duration Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	12.4680
SBI Long Duration Fund - Regular Plan - Growth	12.3150
SBI Long Duration Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW)	12.3153
UTI Long Duration Fund - Direct Plan - Annual IDCW Option	11.0821
UTI Long Duration Fund - Direct Plan - Flexi IDCW Option	11.8681
UTI Long Duration Fund - Direct Plan - Growth Option	12.0202
