Scheme Name	Net Asset Value
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth	11.6493
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend	11.1411
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus	11.1681
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend	11.0236
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend	10.1418
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus	21.8981
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.2300
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth	44.8136
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Income Distribution cum Capital Withdrawal (IDCW)	11.1564
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus	21.7644
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.3550
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth	44.1617
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Income Distribution cum Capital Withdrawal (IDCW)	11.1915
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	12.1035
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth	35.6206
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.4908
TRUSTMF BANKING & PSU FUND - DIRECT GROWTH	1331.7172
TRUSTMF BANKING & PSU FUND - REGULAR GROWTH	1300.0879
TRUSTMF BANKING & PSU FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1168.1347
TRUSTMF BANKING & PSU FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1323.2811
TRUSTMF BANKING & PSU FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1155.7494
TRUSTMF BANKING & PSU FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1174.933
TRUSTMF BANKING & PSU FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1131.8721
TRUSTMF BANKING & PSU FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1138.2053
TRUSTMF BANKING & PSU FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1244.1978
TRUSTMF BANKING & PSU FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1134.2235
TRUSTMF BANKING & PSU FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1146.7607
TRUSTMF BANKING & PSU FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1113.6319
UTI Banking & PSU Fund - Direct Plan - Annual IDCW	13.5449
UTI Banking & PSU Fund - Direct Plan - Flexi IDCW	19.7507
UTI Banking & PSU Fund - Direct Plan - Growth Option	22.9198
UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW	15.209
UTI Banking & PSU Fund - Direct Plan - Monthly IDCW	13.5796
UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW	17.0589
UTI Banking & PSU Fund - Regular Plan - Annual IDCW	13.2837
UTI Banking & PSU Fund - Regular Plan - Flexi IDCW	15.0976
UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW	15.0343
UTI Banking & PSU Fund - Regular Plan - Monthly IDCW	13.3385
UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW	15.4497
UTI Banking & PSU Fund- Regular Plan - Growth Option	22.5132
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan	117.7127
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan	115.6637
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW	10.9625
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW	12.8683
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW	12.3035
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW	12.6611
Axis Corporate Bond Fund - Direct Plan - Daily IDCW	10.2338
Axis Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2761
Axis Corporate Bond Fund - Direct Plan - Regular IDCW	14.5184
Axis Corporate Bond Fund - Direct Plan - Weekly IDCW	10.3711
Axis Corporate Bond Fund - Direct Plan Growth	18.6096
Axis Corporate Bond Fund - Regular Plan - Daily IDCW	10.2335
Axis Corporate Bond Fund - Regular Plan - Monthly IDCW	10.2288
Axis Corporate Bond Fund - Regular Plan - Regular IDCW	13.5540
Axis Corporate Bond Fund - Regular Plan - Weekly IDCW	10.2523
Axis Corporate Bond Fund - Regular Plan Growth	17.5430
BANDHAN Corporate Bond Fund - Direct Annual IDCW	10.7720
BANDHAN Corporate Bond Fund - Direct Growth	20.2980
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW	11.6266
BANDHAN Corporate Bond Fund - Direct Monthly IDCW	10.3776
BANDHAN Corporate Bond Fund - Direct Periodic IDCW	13.4663
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW	10.7004
BANDHAN Corporate Bond Fund - Regular Annual IDCW	10.7425
BANDHAN Corporate Bond Fund - Regular Growth	19.6872
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW	11.0147
BANDHAN Corporate Bond Fund - Regular Monthly IDCW	10.6300
BANDHAN Corporate Bond Fund - Regular Periodic IDCW	13.2718
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW	10.7321
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option	11.7828
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option	32.7331
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option	10.4670
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option	10.5205
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option	12.0476
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option	30.0564
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option	10.6530
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option	10.7512
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION	11.7065
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION	28.2811
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION	10.5095
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION	10.5320
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION	23.8081
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	12.6776
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION	22.1639
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	11.8197
DSP Corporate Bond Fund - Direct - Growth	16.6897
DSP Corporate Bond Fund - Direct - IDCW	11.8021
DSP Corporate Bond Fund - Direct - IDCW - Monthly	10.6137
DSP Corporate Bond Fund - Direct - IDCW - Quarterly	11.4401
DSP Corporate Bond Fund - Regular - Growth	16.3873
DSP Corporate Bond Fund - Regular - IDCW	11.7602
DSP Corporate Bond Fund - Regular - IDCW - Monthly	10.5888
DSP Corporate Bond Fund - Regular - IDCW - Quarterly	10.785
Franklin India Corporate Debt Fund - Direct - Bonus	0.0000
Franklin India Corporate Debt Fund - Direct - GROWTH	111.0342
Franklin India Corporate Debt Fund - Growth	102.3050
Franklin India Corporate Debt Fund - Monthly Bonus	0.0000
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW	17.4646
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW	19.6533
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW	14.9176
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW	17.2922
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW	13.8520
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW	12.6446
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW	15.4068
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW	12.1683
HDFC Corporate Bond Fund - Growth Option	33.3419
HDFC Corporate Bond Fund - Growth Option - Direct Plan	34.1037
HDFC Corporate Bond Fund - IDCW Option	20.1841
HDFC Corporate Bond Fund - IDCW Option - Direct Plan	20.8963
HDFC Corporate Bond Fund - Quarterly IDCW Option	10.5953
HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan	10.4952
HSBC Corporate Bond Fund - Direct Annual IDCW	12.3264
HSBC Corporate Bond Fund - Direct Growth	80.1337
HSBC Corporate Bond Fund - Direct Quarterly IDCW	11.5336
HSBC Corporate Bond Fund - Direct Semi Annual IDCW	20.1437
HSBC Corporate Bond Fund - Regular Annual IDCW	12.0499
HSBC Corporate Bond Fund - Regular Growth	75.1554
HSBC Corporate Bond Fund - Regular Quarterly IDCW	11.1198
HSBC Corporate Bond Fund - Regular Semi Annual IDCW	16.8265
HSBC Corporate Bond Fund -Regular Plan - Bonus	28.548
ICICI Prudential Corporate Bond Fund - Bonus	14.9782
ICICI Prudential Corporate Bond Fund - Daily IDCW	10.1065
ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW	10.1008
ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW	12.1669
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth	32.1563
ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option	12.8827
ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2626
ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW	15.6167
ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW	10.2332
ICICI Prudential Corporate Bond Fund - Fortnightly IDCW	10.2243
ICICI Prudential Corporate Bond Fund - Growth	30.6724
ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option	12.6555
ICICI Prudential Corporate Bond Fund - Monthly IDCW	10.4166
ICICI Prudential Corporate Bond Fund - Premium Daily Dividend	10.0277
ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend	10.0770
ICICI Prudential Corporate Bond Fund - Weekly IDCW	10.3040
ICICI Prudential Corporate Bond Fund -Quarterly IDCW	11.2860
ICICI Prudential Corporate Bond Fund Retail Daily Dividend	10.0275
ICICI Prudential Corporate Bond Fund Retail Fort Nightly Dividend	10.3041
ICICI Prudential Corporate Bond Fund Retail Growth	22.7853
ICICI Prudential Corporate Bond Fund Retail Monthly Dividend	10.3008
ICICI Prudential Corporate Bond Fund Retail Quarterly Dividend	10.9335
ICICI Prudential Corporate Bond Fund Retail Weekly Dividend	10.2202
Invesco India Corporate Bond Fund - Direct Plan - Annual IDCW (Payout / Reinvestment)	1288.7512
Invesco India Corporate Bond Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment)	3499.7046
Invesco India Corporate Bond Fund - Direct Plan - Growth	3498.5876
Invesco India Corporate Bond Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1260.3836
Invesco India Corporate Bond Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment)	1176.1788
Invesco India Corporate Bond Fund - Regular Plan - Annual IDCW (Payout / Reinvestment)	2013.1571
Invesco India Corporate Bond Fund - Regular Plan - Discretionary IDCW (Payout / Reinvestment)	3424.2828
Invesco India Corporate Bond Fund - Regular Plan - Growth	3259.6672
Invesco India Corporate Bond Fund - Regular Plan - Monthly IDCW (Payout / Reinvestment)	1868.3326
Invesco India Corporate Bond Fund - Regular Plan - Quarterly IDCW (Payout / Reinvestment)	1170.2643
Kotak Coporate Bond Fund- Retail Plan-Growth Option	2034.9063
Kotak Corporate Bond Fund- Direct Plan- Growth Option	4051.3548
Kotak Corporate Bond Fund- Direct Plan- Monthly Payout of Income Distribution cum capital withdrawal option	1072.1239
Kotak Corporate Bond Fund- Institutional Plan-Growth Option	2090.4924
Kotak Corporate Bond Fund- Regular Plan-Growth Option	3875.0261
Kotak Corporate Bond Fund- Regular Plan-Monthly Dividend Option	1262.3339
Kotak Corporate Bond Fund- Regular Plan-Quarterly Dividend Option	1066.6837
Kotak Corporate Bond Fund- Retail Plan- Monthly Dividend Option	1040.0538
Kotak Corporate Bond Fund- Retail Plan- Weekly Dividend Option	1052.3061
Kotak Corporate Bond Fund- Retail Plan-Daily Dividend Option	1052.6393
Kotak Corporate Bond Fund- Standard Plan-Daily Dividend Option	1052.7994
Kotak Corporate Bond Fund- Standard Plan-Weekly Dividend Option	1202.9939
Mirae Asset Corporate Bond Fund Direct Growth Plan	13.3448
Mirae Asset Corporate Bond Fund Direct IDCW	13.3417
Mirae Asset Corporate Bond Fund Regular Growth	13.0731
Mirae Asset Corporate Bond Fund Regular IDCW	13.0730
NIPPON INDIA CORPORATE BOND FUND - DAILY IDCW Option	17.0912
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - DAILY IDCW Option	17.0914
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - IDCW Option	20.5114
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - MONTHLY IDCW Option	11.7633
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - QUARTERLY IDCW Option	12.2823
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - WEEKLY IDCW Option	17.1005
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Bonus	46.2147
Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option	64.7306
Nippon India Corporate Bond Fund - Growth Plan - Bonus Option	43.9885
Nippon India Corporate Bond Fund - Growth Plan - Growth Option	61.5919
NIPPON INDIA CORPORATE BOND FUND - IDCW Option	19.7324
NIPPON INDIA CORPORATE BOND FUND - MONTHLY IDCW Option	11.6334
NIPPON INDIA CORPORATE BOND FUND - QUARTERLY IDCW Option	12.1192
NIPPON INDIA CORPORATE BOND FUND - WEEKLY IDCW Option	17.1000
PGIM India Corporate Bond Fund - Annual Dividend	10.7576
PGIM India Corporate Bond Fund - Direct Plan - Annual Dividend	16.5696
PGIM India Corporate Bond Fund - Direct Plan - Growth	49.4355
PGIM India Corporate Bond Fund - Direct Plan - Monthly Dividend	15.0144
PGIM India Corporate Bond Fund - Direct Plan - Quarterly Dividend	13.1915
PGIM India Corporate Bond Fund - Growth	44.2502
PGIM India Corporate Bond Fund - Monthly Dividend	12.8853
PGIM India Corporate Bond Fund - Premium Plus Plan - Growth	21.588
PGIM India Corporate Bond Fund - Quarterly Dividend	11.6206
PGIM India Premier Bond Fund - Annual Bonus	24.9334
PGIM India Premier Bond Fund - Bonus	15.2260
PGIM India Premier Bond Fund - Direct Plan - Half-Yearly Bonus	13.2164
PGIM India Premier Bond Fund - Half-Yearly Bonus	13.5688
